pId,condition,timestamp,HR,HRV
p001_tamil_iteration1,2,2023-04-12T09:37:16.663+12:00,,1143
p001_tamil_iteration1,2,2023-04-12T09:37:17.720+12:00,,1147
p001_tamil_iteration1,2,2023-04-12T09:37:18.857+12:00,,1145
p001_tamil_iteration1,2,2023-04-12T09:37:19.425+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:20.156+12:00,,1142
p001_tamil_iteration1,2,2023-04-12T09:37:21.212+12:00,,1150
p001_tamil_iteration1,2,2023-04-12T09:37:21.456+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:22.431+12:00,,1143
p001_tamil_iteration1,2,2023-04-12T09:37:23.486+12:00,,1117
p001_tamil_iteration1,2,2023-04-12T09:37:23.490+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:24.627+12:00,,1118
p001_tamil_iteration1,2,2023-04-12T09:37:25.520+12:00,52,
p001_tamil_iteration1,2,2023-04-12T09:37:25.680+12:00,,1123
p001_tamil_iteration1,2,2023-04-12T09:37:26.494+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:26.738+12:00,,1110
p001_tamil_iteration1,2,2023-04-12T09:37:27.469+12:00,53,
p001_tamil_iteration1,2,2023-04-12T09:37:27.795+12:00,,1016
p001_tamil_iteration1,2,2023-04-12T09:37:28.527+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:28.849+12:00,,996
p001_tamil_iteration1,2,2023-04-12T09:37:29.907+12:00,,1007
p001_tamil_iteration1,2,2023-04-12T09:37:30.557+12:00,55,
p001_tamil_iteration1,2,2023-04-12T09:37:30.882+12:00,,1059
p001_tamil_iteration1,2,2023-04-12T09:37:31.533+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:44.007+12:00,54,
p001_tamil_iteration2,1,2023-04-12T09:38:44.902+12:00,,1139
p001_tamil_iteration2,1,2023-04-12T09:38:46.201+12:00,,1166
p001_tamil_iteration2,1,2023-04-12T09:38:47.014+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:47.257+12:00,,1182
p001_tamil_iteration2,1,2023-04-12T09:38:48.395+12:00,,1164
p001_tamil_iteration2,1,2023-04-12T09:38:49.044+12:00,53,
p001_tamil_iteration2,1,2023-04-12T09:38:49.614+12:00,,1148
p001_tamil_iteration2,1,2023-04-12T09:38:50.752+12:00,,1149
p001_tamil_iteration2,1,2023-04-12T09:38:51.888+12:00,,1154
p001_tamil_iteration2,1,2023-04-12T09:38:52.051+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:53.026+12:00,,1147
p001_tamil_iteration2,1,2023-04-12T09:38:54.164+12:00,,1130
p001_tamil_iteration2,1,2023-04-12T09:38:55.057+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:55.300+12:00,,1129
p001_tamil_iteration2,1,2023-04-12T09:38:56.112+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:56.436+12:00,,1119
p001_tamil_iteration2,1,2023-04-12T09:38:57.411+12:00,,1109
p001_tamil_iteration2,1,2023-04-12T09:38:58.630+12:00,,1113
p001_tamil_iteration2,1,2023-04-12T09:38:59.119+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:38:59.687+12:00,,1107
p001_tamil_iteration2,1,2023-04-12T09:39:00.908+12:00,,1110
p001_tamil_iteration2,1,2023-04-12T09:39:01.153+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:01.884+12:00,,1096
p001_tamil_iteration2,1,2023-04-12T09:39:02.126+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:03.020+12:00,,1080
p001_tamil_iteration2,1,2023-04-12T09:39:04.155+12:00,54,1088
p001_tamil_iteration2,1,2023-04-12T09:39:05.134+12:00,,1093
p001_tamil_iteration2,1,2023-04-12T09:39:05.135+12:00,,
p001_tamil_iteration2,1,1970-01-20T23:00:49.144+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:06.190+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:06.269+12:00,,1096
p001_tamil_iteration2,1,2023-04-12T09:39:07.408+12:00,,1100
p001_tamil_iteration2,1,2023-04-12T09:39:08.463+12:00,,1099
p001_tamil_iteration2,1,2023-04-12T09:39:09.195+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:09.603+12:00,,1107
p001_tamil_iteration2,1,2023-04-12T09:39:10.657+12:00,,1101
p001_tamil_iteration2,1,2023-04-12T09:39:11.227+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:11.795+12:00,,1096
p001_tamil_iteration2,1,2023-04-12T09:39:12.933+12:00,,1106
p001_tamil_iteration2,1,2023-04-12T09:39:14.070+12:00,,1119
p001_tamil_iteration2,1,2023-04-12T09:39:15.126+12:00,,1132
p001_tamil_iteration2,1,2023-04-12T09:39:16.183+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:16.263+12:00,,1126
p001_tamil_iteration2,1,2023-04-12T09:39:17.402+12:00,,1097
p001_tamil_iteration2,1,2023-04-12T09:39:18.375+12:00,,1079
p001_tamil_iteration2,1,2023-04-12T09:39:19.515+12:00,,1077
p001_tamil_iteration2,1,2023-04-12T09:39:20.651+12:00,,1075
p001_tamil_iteration2,1,2023-04-12T09:39:21.219+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:21.628+12:00,,1085
p001_tamil_iteration2,1,2023-04-12T09:39:22.764+12:00,,1102
p001_tamil_iteration2,1,2023-04-12T09:39:23.901+12:00,,1108
p001_tamil_iteration2,1,2023-04-12T09:39:24.958+12:00,,1118
p001_tamil_iteration2,1,2023-04-12T09:39:26.175+12:00,,1113
p001_tamil_iteration2,1,2023-04-12T09:39:26.257+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:27.151+12:00,,1106
